"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-159D12.5",4.41185200797051,3.14711120478231,4.10056355542277,4.13145408692807e-05,0.000126735303486485,1.88810358101358
"CLNK",4.41155592206419,2.64693355323851,4.1002883605444,4.13636773400934e-05,0.000126850169344266,1.88705873667264
"NDFIP1",4.41132218183717,5.43927455946288,4.1000711124013,4.1402506493492e-05,0.000126933369724326,1.88623395074655
"STAU1",4.41106755883203,3.93912178565979,4.09983445491293,4.1444844073107e-05,0.000127027276325766,1.88533552667402
"CDC27",4.4108648135436,5.21116039659864,4.09964601478863,4.14785850319062e-05,0.000127094788928603,1.88462018752163
"HDHD2",4.41072247522113,3.14643348513268,4.09951371947669,4.15022886082697e-05,0.000127131516487783,1.88411799981172
"PPP2R2C",4.41060705955247,2.64636423573148,4.09940644722825,4.15215181955541e-05,0.000127131748029216,1.88371081054736
"MGAT4A",4.41043967700836,4.14626380620501,4.09925087474782,4.15494210878668e-05,0.000127131748029216,1.88312029982377
"TRIO",4.41032960638991,4.93867901419452,4.09914857041719,4.15677797021432e-05,0.000127131748029216,1.8827319926889
"PRUNE2",4.41029128484049,8.54094159338947,4.09911295273358,4.15741731371708e-05,0.000127131748029216,1.88259680419869
"PALLD",4.4102511021618,3.43863191165766,4.099075605237,4.1580878078718e-05,0.000127131748029216,1.88245505138863
"LINC01608",4.41024504930348,7.50326978841515,4.09906997945213,4.15818881565788e-05,0.000127131748029216,1.88243369877582
"TANGO6",4.41023008957991,4.7311005544691,4.09905607524656,4.15843846779437e-05,0.000127131748029216,1.88238092562193
"TMPRSS5",4.40976474162035,5.09930414277647,4.09862356099176,4.16621143328233e-05,0.000127333504369333,1.88073941519529
"FRG1",4.40932437120619,3.64559462272371,4.09821426193368,4.17357987934842e-05,0.000127522787076684,1.8791861723361
"CTNNBL1",4.40883827279957,3.80626701112342,4.09776246132774,4.18172782110604e-05,0.000127709739696532,1.87747182110618
"TESK2",4.40881891650749,4.84145006129388,4.09774447076375,4.18205258195187e-05,0.000127709739696532,1.87740356006973
"DHRS7B",4.40865025993522,3.43767140632171,4.09758771414716,4.1848833233055e-05,0.000127727892071549,1.876808796005
"CTNNA3",4.40864322481272,9.68692559855355,4.09758117540405,4.18500144068531e-05,0.000127727892071549,1.87678398727906
"TACR3",4.40810106979113,2.64486064187468,4.09707727338764,4.19411356514485e-05,0.0001279340235643,1.87487224550042
"RBMS2",4.40810106979113,2.64486064187468,4.09707727338764,4.19411356514485e-05,0.0001279340235643,1.87487224550042
"EPS15",4.40799869220163,6.61898283111332,4.09698211928645,4.1958363605501e-05,0.000127950602900418,1.87451126902778
"SFT2D1",4.40779788182423,5.20932023756702,4.09679547755105,4.19921751913714e-05,0.000128017729931548,1.8738032495366
"ZNF337",4.40764460067537,3.4370680107658,4.09665301150921,4.20180014066659e-05,0.000128024519871476,1.87326283084203
"VLDLR",4.40764460067537,3.4370680107658,4.09665301150921,4.20180014066661e-05,0.000128024519871476,1.87326283084202
"GPBP1L1",4.40690878869325,5.04782273424475,4.09596911644835,4.21421877200841e-05,0.000128366854790262,1.87066886251243
"STT3B",4.40683147019984,4.80506292956358,4.09589725334059,4.21552573118493e-05,0.000128370626391683,1.87039631568453
"HDAC9",4.40667563329745,5.43648663033905,4.09575241187235,4.21816110117732e-05,0.000128414837114966,1.86984700687133
"LINC01004",4.40624866835423,4.43623045137311,4.09535557243112,4.22538954926599e-05,0.000128598812368965,1.86834209953713
"RABAC1",4.40617326799789,5.52114771188047,4.09528549212183,4.22666728558637e-05,0.000128601626608559,1.86807635387611
"DYNC1I2",4.40608248274121,5.72861199036588,4.09520111242952,4.22820622123402e-05,0.000128611748696362,1.86775639075855
"DENND4B",4.4059719090865,4.43606439581248,4.09509834055552,4.23008131566964e-05,0.000128611748696362,1.8673666944118
"FUT8",4.40594392172659,7.50068911186902,4.09507232790871,4.23055604697986e-05,0.000128611748696362,1.86726805970138
"LACTB2",4.40537985214171,2.64322791128503,4.09454805756186,4.24013477369052e-05,0.000128866841161182,1.8652802658466
"PTBP3",4.40528492350926,3.14317095410556,4.09445982683928,4.24174882221007e-05,0.000128879794794117,1.86494576023853
"ZNF131",4.40502337779446,4.59645932448093,4.09421673508909,4.24619883663243e-05,0.000128976655220296,1.86402417350151
"CYB5A",4.4048486721778,3.43539045366726,4.09405435623247,4.24917379558495e-05,0.000128976655220296,1.86340860842934
"ERBB2IP",4.40483422484642,9.2576854841843,4.09404092826608,4.24941989917974e-05,0.000128976655220296,1.86335770519104
"YPEL3",4.4047691610065,5.88878804476874,4.09398045515631,4.25052839913966e-05,0.000128976655220296,1.86312846352902
"ROBO3",4.40474850588871,3.14284910353322,4.09396125740827,4.25088036007169e-05,0.000128976655220296,1.86305568935114
